place,latitude,longitude,country
Aisne,,,France
Belgium,,,Belgium
Courtrai,50.8262,3.2664,Belgium
Croissy-Beaubourg,48.8212,2.6554,France
Dardanelles,40.0446,26.2835,Turkey
Devonport,50.3725,-4.1758,England
France,,,France
Limousin,,,France
Longmoor,51.0734,-0.8713,England
Magnac-Laval,46.2153,1.1677,France
Montmorillon,46.4231,0.868,France
Newcastle,54.9704,-1.615,England
Oxford,51.7535,-1.2627,England
Paris,48.8549,2.3471,France
Provins,48.5604,3.2985,France
Rawalpindi,31.2906,75.7927,India
R̩jat,46.196,1.8774,France
Verdun,49.1942,5.4332,France
Ypres,50.8481,2.8776,Belgium